Ranking,Title,Type,Aired,Episodes,Duration,Score,Source,Genres,Themes,Licensors,Producers,Rating,Status,Studios,Members,Duaration,Quantity Genres,Quantity Theme 
2885,Madou King Granzort,TV,"Apr 7, 1989 to Mar 2, 1990",41,24 min. per ep.,7.22,Original,"Action,Comedy,Fantasy,Sci-Fi",Mecha,add some,Atelier Musa,G ,Finished Airing,Sunrise,"2,182",984.0,4,1
2886,Mahou no Tenshi Creamy Mami,TV,"Jul 1, 1983 to Jun 29, 1984",52,24 min. per ep.,7.22,Original,"Comedy,Fantasy,Romance,Sci-Fi","Idols (Female),Mahou Shoujo,School",add some,Kodansha,G ,Finished Airing,Pierrot,"12,638",1248.0,4,3
2887,Mai Mai Shinko to Sennen no Mahou,Movie,15-Aug-09,1,1 hr. 35 min.,7.22,Novel,"Adventure,Drama",None,NYAV Post,"Avex Entertainment,Shochiku",PG ,Finished Airing,Madhouse,"14,003",95.0,2,0
2888,"Mogyutto ""Love"" de Sekkinchuu!",Music,15-Feb-12,1,6 min.,7.22,Music,None,"Idols (Female),Music",add some,Lantis,PG,Finished Airing,Sunrise,"12,986",6.0,1,2
2889,Musekinin Kanchou Tylor OVA,OVA,"Oct 1, 1994 to Aug 1, 1996",10,37 min. per ep.,7.22,Light novel,"Adventure,Comedy,Drama,Sci-Fi","Military,Space",Nozomi Entertainment,d-rights,PG,Finished Airing,Studio Deen,"8,649",370.0,4,2
2890,One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou,Special,18-Dec-05,1,42 min.,7.22,Manga,"Comedy,Fantasy",Historical,add some,"None found,add some",PG,Finished Airing,Toei Animation,"29,769",42.0,2,1
2891,Onegai My Melody,TV,"Apr 3, 2005 to Mar 26, 2006",52,24 min. per ep.,7.22,Unknown,"Comedy,Fantasy",None,add some,"TV Osaka,Sanrio,Yomiuri Advertising",PG ,Finished Airing,Studio Comet,"12,585",1248.0,2,0
2892,Outbreak Company,TV,"Oct 4, 2013 to Dec 20, 2013",12,24 min. per ep.,7.22,Light novel,"Comedy,Fantasy","Harem,Isekai,Otaku Culture,Parody",Sentai Filmworks,"Pony Canyon,TBS,Kodansha,Movic,DAX Production",PG,Finished Airing,feel.,"327,266",288.0,2,4
2893,Owari no Seraph: The Beginning of the End,Special,3-Oct-15,1,24 min.,7.22,Manga,"Action,Drama,Supernatural",Vampire,add some,"None found,add some",R ,Finished Airing,Wit Studio,"59,013",24.0,3,1
2894,Plastic Neesan,ONA,"May 16, 2011 to Jul 26, 2012",12,2 min. per ep.,7.22,Manga,Comedy,School,add some,Good Smile Company,PG,Finished Airing,Barnum Studio,"185,317",24.0,1,1
2895,Quanzhi Fashi,ONA,"Sep 2, 2016 to Nov 4, 2016",12,18 min. per ep.,7.22,Novel,"Action,Fantasy",School,add some,"Tencent Penguin Pictures,China Literature Limited",PG,Finished Airing,Shanghai Foch Film and TV Culture Investment,"113,854",216.0,2,1
2896,Re-Main,TV,"Jul 4, 2021 to Oct 3, 2021",12,23 min. per ep.,7.22,Original,Sports,"School,Team Sports",Funimation,Bandai Namco Arts,PG,Finished Airing,MAPPA,"101,520",276.0,1,2
2897,Red Shoes,Movie,25-Jul-19,1,1 hr. 32 min.,7.22,Original,"Comedy,Romance",None,add some,"None found,add some",G ,Finished Airing,add some,617,92.0,2,0
2898,Rurouni Kenshin: Special Techniques,Special,21-Oct-97,1,25 min.,7.22,Manga,"Action,Comedy",Samurai,add some,"None found,add some",PG,Finished Airing,Gallop,"11,337",25.0,2,1
2899,Saber Marionette J Again,OVA,"Nov 25, 1997 to Jun 25, 1998",6,27 min. per ep.,7.22,Novel,"Action,Comedy,Romance,Sci-Fi","Harem,Mecha",Bandai Entertainment,Bandai Visual,PG,Finished Airing,Hal Film Maker,"11,007",162.0,4,2
2900,Sabikui Bisco,TV,"Jan 11, 2022 to Mar 29, 2022",12,23 min. per ep.,7.22,Light novel,"Action,Adventure,Fantasy,Sci-Fi",None,add some,"Frontier Works,YTV,KlockWorx,flying DOG,Hakuhodo DY Music & Pictures,BS11,Kadokawa,Bit grooove promotion",PG,Finished Airing,OZ,"189,724",276.0,4,0
2901,Saiyuuki Reload Blast,TV,"Jul 5, 2017 to Sep 20, 2017",12,23 min. per ep.,7.22,Manga,"Action,Adventure,Comedy,Drama,Supernatural",Mythology,Funimation,"Pierrot,Dentsu,Frontier Works,Lantis,Media Factory,AT-X,Ichijinsha",PG,Finished Airing,Platinum Vision,"37,760",276.0,5,1
2902,Sankarea OVA,OVA,"Jun 8, 2012 to Nov 9, 2012",2,24 min. per ep.,7.22,Manga,"Comedy,Horror,Romance,Supernatural,Ecchi",None,add some,"Lantis,Pony Canyon,TBS,Kodansha,BS-TBS",R+ ,Finished Airing,Studio Deen,"102,744",48.0,5,0
2903,Sankarea: Wagahai mo... Zombie de Aru...,Special,30-Nov-12,1,24 min.,7.22,Manga,"Comedy,Horror,Romance,Supernatural,Ecchi",None,Funimation,"Lantis,Pony Canyon,TBS,Kodansha,BS-TBS",R+ ,Finished Airing,Studio Deen,"79,746",24.0,5,0
2904,Seikai no Senki Special,Special,4-Jul-01,1,2 hr.,7.22,Light novel,"Action,Romance,Sci-Fi","Military,Space",add some,"Bandai Visual,WOWOW",PG,Finished Airing,Sunrise,"3,175",120.0,3,2
2905,Suzumiya Haruhi no Yuuutsu (2009),TV,"May 22, 2009 to Sep 11, 2009",14,24 min. per ep.,7.22,Light novel,"Comedy,Mystery,Sci-Fi,Slice of Life",School,Funimation,Kadokawa Shoten,PG,Finished Airing,Kyoto Animation,"486,958",336.0,4,1
2906,Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,OVA,14-Sep-05,1,30 min.,7.22,Original,"Action,Comedy,Sci-Fi","Harem,Space",Funimation,VAP,PG,Finished Airing,AIC,"10,970",30.0,3,2
2907,Tennis no Ouji-sama: Pair Prince,Special,"Jun 25, 2010 to Dec 22, 2010",8,10 min. per ep.,7.22,Manga,Comedy,None,add some,Nihon Ad Systems,PG,Finished Airing,Production I.G,"5,320",80.0,1,0
2908,Uragiri wa Boku no Namae wo Shitteiru,TV,"Apr 12, 2010 to Sep 20, 2010",24,23 min. per ep.,7.22,Manga,"Adventure,Boys Love,Drama,Fantasy",Reincarnation,Funimation,"None found,add some",R ,Finished Airing,J.C.Staff,"93,169",552.0,4,1
2909,"Wake Up, Girls! Beyond the Bottom",Movie,11-Dec-15,1,53 min.,7.22,Original,Drama,"Idols (Female),Music",add some,"TV Tokyo,Tatsunoko Production,AT-X,Toho,Ultra Super Pictures,DIVE II Entertainment,Good Smile Company,Avex Pictures,Lawson HMV Entertainment,Hiroshi Planning",PG,Finished Airing,Ordet,"7,931",53.0,1,2
2910,Wan Jie Xian Zong 4th Season,ONA,"Sep 14, 2020 to Feb 18, 2021",48,8 min. per ep.,7.22,Web manga,"Action,Fantasy,Romance","Historical,Mythology",add some,Tencent Penguin Pictures,PG,Finished Airing,Ruo Hong Culture,"1,619",384.0,3,2
2911,Wu Shang Shen Di 2nd Season,ONA,"May 21, 2021 to ?",128,7 min. per ep.,7.22,Novel,"Action,Adventure,Fantasy,Supernatural",None,add some,"None found,add some",PG,Currently Airing,add some,"1,323",896.0,4,0
2912,Yawara!: Zutto Kimi no Koto ga...,Special,19-Jul-96,1,1 hr. 32 min.,7.22,Manga,"Action,Comedy,Drama,Slice of Life,Sports","Combat Sports,Martial Arts",add some,"None found,add some",PG,Finished Airing,Madhouse,"2,504",92.0,5,2
2913,Young Black Jack,TV,"Oct 2, 2015 to Dec 18, 2015",12,24 min. per ep.,7.22,Manga,Drama,"Historical,Medical",Sentai Filmworks,"TBS,Grooove,Being",PG,Finished Airing,Tezuka Productions,"79,058",288.0,1,2
2914,Masuda Kousuke Gekijou Gag Manga Biyori,TV,"Feb 7, 2005 to Apr 25, 2005",12,5 min. per ep.,7.21,Manga,Comedy,"Gag Humor,Parody",add some,"Bandai Visual,SKY Perfect Well Think,Kids Station,DAX Production",PG,Finished Airing,Artland,"8,747",60.0,1,2
2915,Masuda Kousuke Gekijou Gag Manga Biyori 2,TV,"Aug 5, 2006 to Oct 21, 2006",12,5 min. per ep.,7.21,Manga,Comedy,Gag Humor,add some,"Bandai Visual,SKY Perfect Well Think,Kids Station,DAX Production",PG,Finished Airing,Artland,"3,017",60.0,1,1
2916,Mikan Enikki,TV,"Oct 16, 1992 to Jun 18, 1993",30,23 min. per ep.,7.21,Manga,"Comedy,Romance,Slice of Life",Pets,add some,"None found,add some",G ,Finished Airing,Nippon Animation,"2,697",690.0,3,1
2917,Mirai Nikki,OVA,9-Dec-10,1,8 min.,7.21,Manga,"Action,Supernatural","High Stakes Game,Survival",add some,"None found,add some",R ,Finished Airing,asread.,"216,986",8.0,2,2
2918,Moyashimon Returns,TV,"Jul 6, 2012 to Sep 14, 2012",11,23 min. per ep.,7.21,Manga,"Comedy,Gourmet,Supernatural",School,add some,"Aniplex,Dentsu,Kodansha,Fuji TV",PG,Finished Airing,Telecom Animation Film,"23,923",253.0,3,1
2919,Nogizaka Haruka no Himitsu,TV,"Jul 3, 2008 to Sep 25, 2008",12,25 min. per ep.,7.21,Light novel,"Comedy,Romance",None,Discotek Media,"Geneon Universal Entertainment,ASCII Media Works,Studio Mausu",PG,Finished Airing,Diomedéa,"127,655",300.0,2,0
2920,Oh! Edo Rocket,TV,"Apr 4, 2007 to Sep 26, 2007",26,24 min. per ep.,7.21,Other,"Comedy,Drama,Fantasy,Sci-Fi",Historical,Funimation,"Sunny Side Up,Index,Universal Pictures Japan",PG,Finished Airing,Madhouse,"11,849",624.0,4,1
2921,One Piece: Episode of Alabasta - Prologue,Special,20-Aug-11,1,15 min.,7.21,Manga,"Action,Adventure,Fantasy",None,add some,"None found,add some",PG,Finished Airing,Toei Animation,"14,131",15.0,3,0
2922,Ou Dorobou Jing,TV,"May 15, 2002 to Aug 14, 2002",13,24 min. per ep.,7.21,Manga,"Adventure,Comedy,Fantasy,Sci-Fi",None,ADV Films,Aniplex,PG,Finished Airing,Studio Deen,"35,488",312.0,4,0
2923,Rewrite 2nd Season,TV,"Jan 14, 2017 to Mar 25, 2017",11,24 min. per ep.,7.21,Visual novel,"Action,Comedy,Fantasy,Romance,Supernatural",Military,add some,"Aniplex,Mainichi Broadcasting System,Movic,Visual Arts,Magic Capsule,ASCII Media Works,Bushiroad,Tokyo MX,BS11,Lawson",PG,Finished Airing,8bit,"105,501",264.0,5,1
2924,Saint Seiya: Shinku no Shounen Densetsu,Movie,23-Jul-88,1,1 hr. 15 min.,7.21,Unknown,"Adventure,Fantasy,Sci-Fi",None,Discotek Media,"None found,add some",PG,Finished Airing,Toei Animation,"14,776",75.0,3,0
2925,Saint Seiya: Tenkai-hen Josou - Overture,Movie,14-Feb-04,1,1 hr. 20 min.,7.21,Manga,"Adventure,Sci-Fi",None,add some,Shueisha,PG,Finished Airing,Toei Animation,"22,139",80.0,2,0
2926,Selector Destructed WIXOSS Movie,Movie,13-Feb-16,1,1 hr. 29 min.,7.21,Card game,None,"High Stakes Game,Psychological,Strategy Game",add some,"Warner Bros. Japan,KlockWorx,Showgate,Hakuhodo DY Music & Pictures",R ,Finished Airing,J.C.Staff,"17,243",89.0,1,3
2927,Sentou Yousei Yukikaze,OVA,"Aug 25, 2002 to Aug 26, 2005",5,37 min. per ep.,7.21,Novel,"Action,Drama,Sci-Fi","Military,Psychological,Space",Bandai Entertainment,Bandai Visual,PG,Finished Airing,Gonzo,"17,117",185.0,3,3
2928,Shikabane Hime: Aka,TV,"Oct 2, 2008 to Dec 25, 2008",13,24 min. per ep.,7.21,Manga,"Action,Horror,Supernatural",None,Funimation,"Square Enix,Starchild Records",R ,Finished Airing,Gainax,"115,624",312.0,3,0
2929,Tactics,TV,"Oct 6, 2004 to Mar 30, 2005",25,24 min. per ep.,7.21,Manga,"Comedy,Drama,Mystery,Supernatural","Historical,Mythology",Manga Entertainment,"Studio Izena,MediaNet",PG,Finished Airing,Studio Deen,"39,036",600.0,4,2
2930,Taiho Shichau zo: Full Throttle,TV,"Oct 5, 2007 to Mar 28, 2008",23,24 min. per ep.,7.21,Manga,"Action,Comedy","Adult Cast,Detective,Workplace",Sentai Filmworks,TBS,PG,Finished Airing,Studio Deen,"8,949",552.0,2,3
2931,Tantei Opera Milky Holmes Dai 2 Maku,TV,"Jan 5, 2012 to Mar 22, 2012",12,24 min. per ep.,7.21,Original,"Comedy,Mystery",Super Power,Funimation,"Sotsu,Lantis,Dwango,Bushiroad,Good Smile Company,Chrono Gear Creative",PG,Finished Airing,J.C.Staff,"17,508",288.0,2,1
2932,Tatakau Shisho: The Book of Bantorra,TV,"Oct 2, 2009 to Apr 2, 2010",27,24 min. per ep.,7.21,Light novel,"Action,Fantasy",Super Power,Sentai Filmworks,"Geneon Universal Entertainment,Sakura Create,Atelier Musa",R ,Finished Airing,David Production,"60,202",648.0,2,1
2933,Tenchi Muyou! in Love 2: Haruka Naru Omoi,Movie,24-Apr-99,1,1 hr. 35 min.,7.21,Unknown,"Drama,Romance,Sci-Fi",None,Funimation,"Genco,Pioneer LDC,Nippon Cultural Broadcasting",R+ ,Finished Airing,AIC,"15,246",95.0,3,0
2934,Tenchi Souzou Design-bu Special,Special,2-Apr-21,1,23 min.,7.21,Manga,"Comedy,Fantasy,Slice of Life",None,add some,"None found,add some",PG,Finished Airing,Asahi Production,"10,996",23.0,3,0
2935,"Tokyo Ghoul: ""Pinto""",OVA,25-Dec-15,1,24 min.,7.21,Light novel,"Action,Fantasy,Horror","Gore,Psychological",Funimation,"None found,add some",R ,Finished Airing,Pierrot,"191,148",24.0,3,2
2936,Toushou Daimos,TV,"Apr 1, 1978 to Jan 27, 1979",44,24 min. per ep.,7.21,Unknown,"Adventure,Drama,Romance,Sci-Fi",Mecha,Discotek Media,Studio Nue,PG,Finished Airing,Sunrise,"5,211",1056.0,4,1
2937,Video Girl Ai,OVA,"Mar 27, 1992 to Aug 28, 1992",6,29 min. per ep.,7.21,Manga,"Comedy,Drama,Romance,Ecchi",None,VIZ Media,Shueisha,R+ ,Finished Airing,Production I.G,"26,549",174.0,4,0
2938,Wu Dong Qian Kun 3rd Season,ONA,"May 1, 2022 to ?",12,24 min. per ep.,7.21,Novel,"Action,Adventure,Fantasy","Historical,Martial Arts",add some,"Tencent Penguin Pictures,China Literature Limited",PG,Currently Airing,Motion Magic,"1,462",288.0,3,2
2939,Yu☆Gi☆Oh!,TV,"Apr 4, 1998 to Oct 10, 1998",27,24 min. per ep.,7.21,Manga,"Action,Comedy,Fantasy",Strategy Game,add some,Nihon Ad Systems,PG,Finished Airing,Toei Animation,"217,404",648.0,3,1
2940,Amagami SS: Tachibana Miya-hen - Imouto,Special,29-Apr-11,1,24 min.,7.21,Visual novel,None,School,Sentai Filmworks,Pony Canyon,PG,Finished Airing,AIC,"51,160",24.0,1,1
2941,Ano Yume wo Nazotte,Music,18-Jan-20,1,3 min.,7.21,Novel,Romance,Music,add some,"None found,add some",G ,Finished Airing,add some,590,3.0,1,1
2942,B: The Beginning,ONA,2-Mar-18,12,23 min. per ep.,7.21,Original,"Action,Mystery,Supernatural,Suspense","Detective,Psychological",add some,Netflix,R ,Finished Airing,Production I.G,"308,675",276.0,4,2
2943,Daze,Music,29-May-14,1,3 min.,7.21,Music,None,Music,add some,"None found,add some",G ,Finished Airing,add some,"6,385",3.0,1,1
2944,Dead Leaves,Movie,16-Jan-04,1,52 min.,7.21,Original,"Adventure,Comedy,Sci-Fi",Psychological,Manga Entertainment,"None found,add some",R+ ,Finished Airing,Production I.G,"84,429",52.0,3,1
2945,Dirty Pair,TV,"Jul 15, 1985 to Dec 26, 1985",24,25 min. per ep.,7.21,Light novel,"Adventure,Comedy,Sci-Fi",Detective,Nozomi Entertainment,Studio Nue,PG,Finished Airing,Sunrise,"26,947",600.0,3,1
2946,Druaga no Tou: The Sword of Uruk,TV,"Jan 9, 2009 to Mar 27, 2009",12,24 min. per ep.,7.21,Game,"Adventure,Fantasy",None,Funimation,Sotsu Music Publishing,PG,Finished Airing,Gonzo,"71,237",288.0,2,0
2947,Fantasy Bishoujo Juniku Ojisan to,TV,"Jan 12, 2022 to Mar 30, 2022",12,23 min. per ep.,7.21,Manga,"Adventure,Comedy,Fantasy","Gag Humor,Isekai,Magical Sex Shift",add some,"TV Tokyo,bilibili,Cygames,Bit grooove promotion,Bushiroad Move,Music Brains",PG,Finished Airing,OLM Team Yoshioka,"114,568",276.0,3,3
2948,Galaxy Angel 4,TV,"Jul 7, 2004 to Sep 29, 2004",13,24 min. per ep.,7.21,Game,"Comedy,Sci-Fi",None,Bandai Entertainment,"Bandai Visual,Studio Fantasia,Studio Flag,Lantis,Broccoli",PG ,Finished Airing,Madhouse,"7,498",312.0,2,0
2949,Gear Fighter Dendoh,TV,"Oct 4, 2000 to Jun 27, 2001",38,23 min. per ep.,7.21,Unknown,"Action,Adventure,Sci-Fi","Mecha,School,Space",add some,Yomiko Advertising,PG ,Finished Airing,Sunrise,"3,153",874.0,3,3
2950,Ginga e Kickoff!!,TV,"Mar 26, 2012 to Feb 26, 2013",39,25 min. per ep.,7.21,Novel,Sports,Team Sports,add some,"NHK,Nihon Ad Systems",PG ,Finished Airing,TYO Animations,"24,521",975.0,1,1
2951,Gugure! Kokkuri-san Specials,Special,"Dec 24, 2014 to May 27, 2015",11,3 min. per ep.,7.21,4-koma manga,"Comedy,Romance,Supernatural",None,Sentai Filmworks,"None found,add some",PG,Finished Airing,TMS Entertainment,"14,249",33.0,3,0
2952,Hetalia Axis Powers Fan Disc,OVA,25-May-10,1,10 min.,7.21,Web manga,Comedy,"Historical,Parody",Funimation,Frontier Works,PG,Finished Airing,Studio Deen,"13,045",10.0,1,2
2953,Higurashi no Naku Koro ni Kaku: Outbreak,OVA,15-Aug-13,1,52 min.,7.21,Visual novel,"Horror,Mystery,Suspense","Gore,Psychological",add some,"Geneon Universal Entertainment,Frontier Works,Sotsu,Daiichi Shokai",R ,Finished Airing,Studio Deen,"64,998",52.0,3,2
2954,Hokuto no Ken Movie,Movie,8-Mar-86,1,1 hr. 50 min.,7.21,Manga,"Adventure,Sci-Fi",None,Discotek Media,"None found,add some",R ,Finished Airing,Toei Animation,"19,424",110.0,2,0
2955,Hunter x Hunter Pilot,OVA,1998,1,25 min.,7.21,Manga,"Action,Adventure",Super Power,add some,"None found,add some",PG,Finished Airing,Pierrot,"25,573",25.0,2,1
2956,Ihatov Gensou: Kenji no Haru,Movie,14-Dec-96,1,56 min.,7.21,Novel,"Drama,Slice of Life","Anthropomorphic,Historical",Tokyopop,"None found,add some",PG ,Finished Airing,Group TAC,"7,246",56.0,2,2
2957,Jinrui wa Suitai Shimashita Specials,Special,"Sep 19, 2012 to Feb 20, 2013",6,2 min. per ep.,7.21,Light novel,"Comedy,Fantasy",None,Sentai Filmworks,"None found,add some",PG,Finished Airing,AIC ASTA,"18,901",12.0,2,0
2958,Kaginado Season 2,TV,"Apr 13, 2022 to Jun 29, 2022",0,4 min.,7.21,Original,"Comedy,Slice of Life",None,add some,"None found,add some",PG,Currently Airing,LIDENFILMS Kyoto Studio,"8,435",4.0,2,0
2959,Kara no Kyoukai Movie 8: Shuushou,Special,2-Feb-11,1,33 min.,7.21,Light novel,Mystery,None,Aniplex of America,"None found,add some",PG,Finished Airing,ufotable,"107,965",33.0,1,0
2960,Kimi no Iru Machi: Tasogare Kousaten,OVA,"Mar 16, 2012 to Jun 15, 2012",2,24 min. per ep.,7.21,Manga,"Drama,Romance",School,add some,Kodansha,R+ ,Finished Airing,Tatsunoko Production,"40,714",48.0,2,1
2961,Kuma Kuma Kuma Bear,TV,"Oct 7, 2020 to Dec 23, 2020",12,23 min. per ep.,7.21,Light novel,"Adventure,Comedy,Fantasy",Isekai,Funimation,"Nippon Columbia,Crest",PG,Finished Airing,EMT Squared,"119,358",276.0,3,1
2962,Kuraku Kuroku,Music,20-Jan-21,1,4 min.,7.21,Original,Supernatural,"Music,Psychological",add some,"None found,add some",PG,Finished Airing,add some,540,4.0,1,2
2963,Kyou no 5 no 2,OVA,"Mar 24, 2006 to Mar 21, 2007",4,29 min. per ep.,7.21,Manga,"Comedy,Ecchi",School,add some,"None found,add some",PG,Finished Airing,Shinkuukan,"29,438",116.0,2,1
2964,Kyou no 5 no 2 (TV),TV,"Oct 6, 2008 to Dec 29, 2008",13,23 min. per ep.,7.21,Manga,"Comedy,Ecchi",School,add some,"Starchild Records,TV Tokyo Music",PG,Finished Airing,Xebec,"34,038",299.0,2,1
2965,Little Nemo,Movie,15-Jul-89,1,1 hr. 34 min.,7.21,Picture book,"Adventure,Fantasy",None,Funimation,"None found,add some",G ,Finished Airing,Tokyo Movie Shinsha,"9,206",94.0,2,0
2966,Mahou Sensei Negima!: Mou Hitotsu no Sekai Extra - Mahou Shoujo Yue♥,OVA,17-Nov-10,1,31 min.,7.21,Manga,"Action,Adventure,Fantasy,Ecchi",School,add some,"None found,add some",PG,Finished Airing,Shaft,"9,277",31.0,4,1
2967,07-Ghost,TV,"Apr 7, 2009 to Sep 22, 2009",25,23 min. per ep.,7.2,Manga,"Action,Fantasy","Military,Mythology",Discotek Media,Ichijinsha,PG,Finished Airing,Studio Deen,"201,499",575.0,2,2
2968,Additional Memory,Music,14-Sep-18,1,4 min.,7.2,Original,None,Music,add some,"None found,add some",PG,Finished Airing,add some,"5,091",4.0,1,1
2969,Ajin OVA,OVA,"May 6, 2016 to Oct 7, 2016",2,21 min. per ep.,7.2,Manga,"Action,Horror,Mystery,Supernatural",None,add some,"None found,add some",R ,Finished Airing,Polygon Pictures,"43,021",42.0,4,0
2970,Amagami SS+ Plus: Extra Episode+ Plus,Special,"Apr 4, 2012 to Sep 5, 2012",6,3 min. per ep.,7.21,Visual novel,Romance,None,add some,"None found,add some",PG,Finished Airing,AIC,"33,919",18.0,1,0
2971,Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,Special,25-Dec-15,1,24 min.,7.2,Manga,"Comedy,Sports","Crossdressing,Team Sports",Sentai Filmworks,TBS,PG,Finished Airing,Brain's Base,"34,441",24.0,2,2
2972,Ayashi no Ceres,TV,"Apr 20, 2000 to Sep 28, 2000",24,21 min. per ep.,7.2,Manga,"Adventure,Drama,Horror,Romance,Supernatural",Psychological,VIZ Media,Bandai Visual,R ,Finished Airing,Pierrot,"58,152",504.0,5,1
2973,Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,Special,"Sep 21, 2011 to Feb 22, 2012",6,5 min. per ep.,7.2,Light novel,"Comedy,Romance","School,Super Power",add some,"None found,add some",PG,Finished Airing,SILVER LINK.,"34,635",30.0,2,2
2974,Date A Live II,TV,"Apr 12, 2014 to Jun 14, 2014",10,28 min. per ep.,7.2,Light novel,"Comedy,Romance,Sci-Fi","Harem,Mecha,School",Funimation,"Kadokawa Shoten,AT-X,Nippon Columbia",R ,Finished Airing,Production IMS,"568,277",280.0,3,3
2975,Denki-gai no Honya-san,TV,"Oct 2, 2014 to Dec 18, 2014",12,23 min. per ep.,7.2,Manga,"Comedy,Slice of Life",Workplace,Ponycan USA,"Sotsu,Pony Canyon,DAX Production,Comic Umenohone,Mobcast",PG,Finished Airing,Shin-Ei Animation,"122,094",276.0,2,1
2976,Detective Conan OVA 08: High School Girl Detective Sonoko Suzuki's Case Files,OVA,2008,1,25 min.,7.2,Manga,"Comedy,Mystery",Detective,add some,Tokyo Movie Shinsha,PG,Finished Airing,TMS Entertainment,"12,096",25.0,2,1
2977,Digimon Adventure tri. 6: Bokura no Mirai,Movie,5-May-18,1,1 hr. 38 min.,7.2,Original,"Action,Adventure,Comedy,Drama",None,add some,Sonilude,PG,Finished Airing,Toei Animation,"41,175",98.0,4,0
2978,Dimension W,TV,"Jan 10, 2016 to Mar 27, 2016",12,24 min. per ep.,7.2,Manga,"Action,Sci-Fi",None,Funimation,"Bandai Visual,Square Enix,Lantis,Tokyo MX,Good Smile Company,Q-Tec,I Will",R ,Finished Airing,Orange,"280,432",288.0,2,0
2979,Fate/kaleid liner Prisma☆Illya 2wei Herz!,TV,"Jul 25, 2015 to Sep 26, 2015",10,23 min. per ep.,7.2,Manga,"Action,Comedy,Fantasy,Slice of Life",Mahou Shoujo,Sentai Filmworks,"Lantis,Kadokawa Shoten,AT-X,DAX Production,KlockWorx,Tokyo MX,Kadokawa Media House",PG,Finished Airing,SILVER LINK.,"128,742",230.0,4,1
2980,Figure 17: Tsubasa & Hikaru,TV,"May 27, 2001 to May 26, 2002",13,47 min. per ep.,7.2,Original,"Sci-Fi,Slice of Life",None,Media Blasters,"Bandai Visual,Genco,MediaNet",PG,Finished Airing,OLM,"12,346",611.0,2,0
2981,Giant Gorg,TV,"Apr 5, 1984 to Sep 27, 1984",26,25 min. per ep.,7.2,Original,"Action,Adventure,Sci-Fi",Mecha,Discotek Media,"None found,add some",PG,Finished Airing,Sunrise,"5,183",650.0,3,1
2982,Girls & Panzer Specials,Special,"Dec 21, 2012 to Jun 21, 2013",6,12 min. per ep.,7.2,Original,None,"Military,School",Sentai Filmworks,"None found,add some",PG,Finished Airing,Actas,"34,796",72.0,1,2
2983,Higurashi no Naku Koro ni Gou,TV,"Oct 1, 2020 to Mar 19, 2021",24,23 min. per ep.,7.2,Visual novel,"Horror,Mystery,Supernatural,Suspense","Gore,Psychological",Funimation,"Frontier Works,Sotsu,MAGES.,Tokyo MX,Infinite,BS11,Daiichi Shokai,Kadokawa,ELF-IN",R ,Finished Airing,Passione,"236,652",552.0,4,2
2984,Holy Knight Light,ONA,26-Dec-20,1,9 min.,7.2,Game,"Action,Fantasy",None,add some,"None found,add some",PG,Finished Airing,Yostar Pictures,"2,661",9.0,2,0
2985,"Inari, Konkon, Koi Iroha.",TV,"Jan 16, 2014 to Mar 20, 2014",10,24 min. per ep.,7.2,Manga,"Comedy,Romance,Supernatural",School,Funimation,"DAX Production,flying DOG",PG,Finished Airing,Production IMS,"151,566",240.0,3,1
2986,Inazuma Eleven Go: Chrono Stone,TV,"Apr 18, 2012 to May 1, 2013",51,23 min. per ep.,7.2,Game,Sports,"Super Power,Team Sports,Time Travel",add some,"None found,add some",G ,Finished Airing,OLM,"50,835",1173.0,1,3
2987,JoJo no Kimyou na Bouken: Adventure,OVA,"May 25, 2000 to Jan 25, 2002",7,30 min. per ep.,7.2,Manga,"Adventure,Drama,Fantasy,Horror,Supernatural",Vampire,Super Techno Arts,Shueisha,R+ ,Finished Airing,APPP,"72,367",210.0,5,1
2988,Kakegurui××,TV,"Jan 9, 2019 to Mar 27, 2019",12,24 min. per ep.,7.2,Manga,"Drama,Mystery","High Stakes Game,Psychological,School,Strategy Game",Sentai Filmworks,"Dentsu,Square Enix,Mainichi Broadcasting System,Movic,KlockWorx,flying DOG,81 Produce,Avex Pictures",R ,Finished Airing,MAPPA,"665,571",288.0,2,4
2989,Kaze no Stigma,TV,"Apr 13, 2007 to Sep 21, 2007",24,24 min. per ep.,7.2,Light novel,"Action,Romance,Supernatural",None,Funimation,"None found,add some",PG,Finished Airing,Gonzo,"424,500",576.0,3,0
2990,Kiddy Grade,TV,"Oct 9, 2002 to Mar 19, 2003",24,23 min. per ep.,7.2,Original,"Action,Sci-Fi,Ecchi","Mecha,Super Power",Funimation,gimik,R+ ,Finished Airing,Gonzo,"43,320",552.0,3,2
2991,Kimi ga Nozomu Eien,TV,"Oct 5, 2003 to Jan 4, 2004",14,23 min. per ep.,7.2,Visual novel,"Drama,Romance,Slice of Life",Love Polygon,Funimation,"Lantis,Media Factory,Age",R+ ,Finished Airing,Studio Fantasia,"134,281",322.0,3,1
