Ranking,Title,Type,Aired,Episodes,Duration,Score,Source,Genres,Themes,Licensors,Producers,Rating,Status,Studios,Members,Duaration,Quantity Genres,Quantity Theme
20,Code Geass: Hangyaku no Lelouch R2,TV,"Apr 6, 2008 to Sep 28, 2008",25,24 min. per ep.,8.91,Original,"Action,Drama,Sci-Fi","Mecha,Military,Super Power",Funimation,"Bandai Visual,Mainichi Broadcasting System,Bandai,Bandai Namco Entertainment,Hakuhodo DY Media Partners",R ,Finished Airing,Sunrise,"1,571,556",600.0,3,3
21,Owarimonogatari 2nd Season,TV,"Aug 12, 2017 to Aug 13, 2017",7,22 min. per ep.,8.9,Light novel,"Comedy,Mystery,Supernatural",Vampire,Aniplex of America,"Aniplex,Kodansha",R ,Finished Airing,Shaft,"349,496",154.0,3,1
22,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,"Jul 9, 2018 to Oct 8, 2018",14,24 min. per ep.,8.88,Manga,"Action,Comedy,Sci-Fi","Gag Humor,Historical,Parody,Samurai",add some,"TV Tokyo,Aniplex,Dentsu,Shueisha",PG,Finished Airing,Bandai Namco Pictures,"164,439",336.0,3,4
23,Kimetsu no Yaiba: Yuukaku-hen,TV,"Dec 5, 2021 to Feb 13, 2022",11,26 min. per ep.,8.87,Manga,"Action,Fantasy",Historical,Crunchyroll,"None found,add some",R ,Finished Airing,ufotable,"891,569",286.0,2,1
24,Kimi no Na wa.,Movie,26-Aug-16,1,1 hr. 46 min.,8.87,Original,"Drama,Supernatural",Romantic Subtext,Funimation,"Toho,Sound Team Don Juan,Amuse,JR East Marketing & Communications,Kadokawa,voque ting",PG,Finished Airing,CoMix Wave Films,"2,363,500",106.0,2,1
25,Shingeki no Kyojin: The Final Season Part 2,TV,"Jan 10, 2022 to Apr 4, 2022",12,23 min. per ep.,8.85,Manga,"Action,Drama","Gore,Military,Survival",add some,"Production I.G,Dentsu,Mainichi Broadcasting System,Pony Canyon,Kodansha,Pony Canyon Enterprise",R ,Finished Airing,MAPPA,"869,839",276.0,2,3
26,Shingeki no Kyojin: The Final Season,TV,"Dec 7, 2020 to Mar 29, 2021",16,23 min. per ep.,8.84,Manga,"Action,Drama","Gore,Military,Survival",Funimation,"Production I.G,Dentsu,Mainichi Broadcasting System,Pony Canyon,Kodansha,Techno Sound,Pony Canyon Enterprise",R ,Finished Airing,MAPPA,"1,597,055",368.0,2,3
27,Monster,TV,"Apr 7, 2004 to Sep 28, 2005",74,24 min. per ep.,8.83,Manga,"Drama,Mystery,Suspense","Adult Cast,Psychological",VIZ Media,"VAP,Shogakukan-Shueisha Productions,Nippon Television Network",R+ ,Finished Airing,Madhouse,"857,308",1776.0,3,2
28,Kingdom 4th Season,TV,"Apr 10, 2022 to ?",26,24 min. per ep.,8.82,Manga,Action,"Historical,Military",add some,"Avex Pictures,Shueisha,NHK Enterprises",R ,Currently Airing,add some,"27,228",624.0,1,2
29,Gintama.: Shirogane no Tamashii-hen,TV,"Jan 8, 2018 to Mar 26, 2018",12,24 min. per ep.,8.81,Manga,"Action,Comedy,Sci-Fi","Gag Humor,Historical,Parody,Samurai",add some,"TV Tokyo,Aniplex,Dentsu,Shueisha",PG,Finished Airing,Bandai Namco Pictures,"178,193",288.0,3,4
30,Kingdom 3rd Season,TV,"Apr 6, 2020 to Oct 17, 2021",26,25 min. per ep.,8.81,Manga,Action,"Historical,Military",Funimation,Shueisha,R ,Finished Airing,Studio Signpost,"70,340",650.0,1,2
31,Mob Psycho 100 II,TV,"Jan 7, 2019 to Apr 1, 2019",13,24 min. per ep.,8.81,Web manga,"Action,Comedy,Supernatural",Super Power,Funimation,"Warner Bros. Japan,KlockWorx,BS Fuji,Hakuhodo DY Music & Pictures,Shogakukan",PG,Finished Airing,Bones,"1,239,719",312.0,3,1
32,Kizumonogatari III: Reiketsu-hen,Movie,6-Jan-17,1,1 hr. 23 min.,8.8,Light novel,"Action,Mystery,Supernatural",Vampire,Aniplex of America,"Aniplex,Kodansha",R ,Finished Airing,Shaft,"404,087",83.0,3,1
33,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,"Oct 8, 2016 to Dec 10, 2016",10,24 min. per ep.,8.79,Manga,Sports,"School,Team Sports",Sentai Filmworks,"Dentsu,Mainichi Broadcasting System,Movic,Sony Music Entertainment,TOHO animation,Shueisha",PG,Finished Airing,Production I.G,"1,038,214",240.0,1,2
34,Shiguang Dailiren,ONA,"Apr 30, 2021 to Jul 9, 2021",11,23 min. per ep.,8.79,Original,"Drama,Supernatural",Time Travel,Funimation,"bilibili,BeDream",PG,Finished Airing,Studio LAN,"213,027",253.0,2,1
35,Monogatari Series: Second Season,TV,"Jul 7, 2013 to Dec 29, 2013",26,25 min. per ep.,8.78,Light novel,"Comedy,Mystery,Romance,Supernatural",Vampire,Aniplex of America,"Aniplex,Kodansha,Cyclone Graphics",R ,Finished Airing,Shaft,"611,343",650.0,4,1
36,Sen to Chihiro no Kamikakushi,Movie,20-Jul-01,1,2 hr. 4 min.,8.78,Original,"Adventure,Award Winning,Supernatural",Mythology,Disney Platform Distribution,Toho,PG ,Finished Airing,Studio Ghibli,"1,614,713",124.0,3,1
37,Cowboy Bebop,TV,"Apr 3, 1998 to Apr 24, 1999",26,24 min. per ep.,8.76,Original,"Action,Sci-Fi","Adult Cast,Space",Funimation,Bandai Visual,R ,Finished Airing,Sunrise,"1,619,496",624.0,2,2
38,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,"Jan 7, 2017 to Mar 25, 2017",12,24 min. per ep.,8.75,Manga,Drama,"Adult Cast,Historical,Love Polygon,Performing Arts",add some,"Mainichi Broadcasting System,Kodansha,DAX Production,King Records",PG,Finished Airing,Studio Deen,"169,818",288.0,1,4
39,Mushishi Zoku Shou 2nd Season,TV,"Oct 19, 2014 to Dec 21, 2014",10,23 min. per ep.,8.74,Manga,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural","Adult Cast,Historical,Iyashikei",Aniplex of America,"Aniplex,Kodansha,Delfi Sound",PG,Finished Airing,Artland,"237,211",230.0,5,3
